,name,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,count,num_owners,average_price,num_reports,market_cap,floor_price
0,CryptoPunks,413.72,0.9332710280373833,5.0,82.744,13016.880000000001,0.37362037835322387,61.0,213.3914754098361,59412.66659999996,0.99493035097748,606.0,98.04070396039597,842039.84284928,19156.0,9999.0,9999.0,3388,43.95697655300062,18,2133701.362622951,
1,Bored Ape Yacht Club,831.0599,-0.16508278245494196,8.0,103.8824875,6985.519899999998,-0.30616339296507034,65.0,107.4695369230769,69561.65550000004,0.10638822605845757,646.0,107.6805812693499,395982.796580094,24642.0,10000.0,10000.0,6313,16.069426044156074,287,1074695.3692307689,98.0
2,Decentraland,286.4291660800001,2.4906198053191377,41.0,6.986077221463416,1513.8893974799998,-0.4493003901631313,166.0,9.119815647469878,10648.700027080002,0.2948243146658807,1078.0,9.878200396178109,301399.1885699832,18013.0,97293.0,97293.0,6702,16.732314915337987,4,887294.2237892869,4.689
3,Mutant Ape Yacht Club,938.0421308642999,0.3198468625705752,41.0,22.8790763625439,4791.301011746211,-0.40823041850261693,219.0,21.878086811626535,49288.632335342474,-0.2353958595818169,2199.0,22.414112021529093,243211.01630004134,25782.0,17959.0,17959.0,11748,9.433364994959327,19,392908.5610500009,18.99
4,Art Blocks Curated,126.56459999999997,-0.6519565617543798,73.0,1.733761643835616,2523.010425211631,0.2326566168044291,1120.0,2.252687879653242,10149.95807777503,-0.01811901715607042,4337.0,2.340317749083475,230468.35699305517,52650.0,52332.0,52332.0,11023,4.3773667045214655,0,117887.66211801347,
5,The Sandbox,254.74899999999997,-0.5467987792721116,67.0,3.8022238805970145,3275.0424703699946,-0.11550116331171911,768.0,4.264378216627597,17931.43439423284,-0.2717231800969001,4265.0,4.204322249527044,157557.50682266167,80199.0,147560.0,147560.0,19713,1.9645819377132092,9,629251.6496455682,3.55
6,CLONE X - X TAKASHI MURAKAMI,944.8840000000001,-0.23104573772478298,48.0,19.685083333333335,6494.449787999994,-0.501771185442396,336.0,19.32871960714284,62526.99886200474,1.6420668128020948,3880.0,16.115205892269262,124866.63543575641,12192.0,18877.0,18877.0,8290,10.241685977342225,16,364868.2400240354,14.08
7,Rarible,6.982199999999999,0.4233411476913669,2039.0,0.003424325649828347,143.17535000000004,0.3515969100875661,18954.0,0.007553832964018151,640.7901893589168,0.13408378608146163,29206.0,0.021940361205194714,99400.46277369047,2067182987.0,311618.0,311618.0,206574,4.8084984928183e-05,20,2353.910320581408,
8,Azuki,2278.6521200000007,-0.32430323886674445,117.0,19.47565914529915,11738.161652299983,-0.007750687070204837,753.0,15.588528090703829,101013.01787909755,7.303005638360958,12557.0,8.044359152591984,113178.85544187183,18064.0,10000.0,10000.0,5402,6.2654370815916645,23,155885.28090703828,14.3
9,Decentraland Wearables,2.76421915,137.2109575,15.0,0.1842812766666667,11.436439249999998,0.18159360396828247,47.0,0.24332849468085102,29.16646043469215,0.28915273288903026,205.0,0.14227541675459587,97312.53333360727,23111.0,71117.0,71117.0,10349,4.210658705101781,1,17304.792556218083,0.00213778
